slice fieldpos lbda x y rmsx_um rmsy_um
9.000000 -0.500000 0.700000 7.445465 13.556390 1.167710 1.441621
9.000000 -0.500000 1.000000 7.417664 12.377116 2.028050 1.725926
9.000000 -0.500000 1.200000 7.404664 11.810499 2.467093 1.875215
9.000000 -0.500000 1.400000 7.392494 11.270549 2.897248 2.021787
9.000000 -0.500000 1.600000 7.380150 10.712862 3.352268 2.175821
9.000000 -0.500000 1.700200 7.373761 10.420049 3.595213 2.257305
9.000000 0.000000 0.350000 7.316827 18.999903 2.535316 1.336176
9.000000 0.000000 0.400000 7.270972 17.247905 1.606924 0.962787
9.000000 0.000000 0.500000 7.221925 15.283225 0.465405 0.819126
9.000000 0.000000 0.700000 7.180824 13.550983 0.932706 1.070488
9.000000 0.000000 1.000000 7.154028 12.371981 1.802559 1.354863
9.000000 0.000000 1.200000 7.141497 11.805493 2.244677 1.504755
9.000000 0.000000 1.400000 7.129767 11.265664 2.677095 1.651346
9.000000 0.000000 1.600000 7.117869 10.708099 3.133954 1.804605
9.000000 0.000000 1.700200 7.111711 10.415350 3.377707 1.885334
9.000000 0.500000 0.350000 7.047057 18.993435 2.699632 1.367514
9.000000 0.500000 0.400000 7.002911 17.241865 1.760800 0.901146
9.000000 0.500000 0.500000 6.955694 15.277651 0.550598 0.542340
