wavelength,narrow,wide
16140,0.515914675,0.495893505
16150,0.5146079,0.494774288
16160,0.51784609,0.497818651
16170,0.517547937,0.497356723
16180,0.517340239,0.497355545
16190,0.515723352,0.495892495
16200,0.516810217,0.496835113
16210,0.51913209,0.499335666
16220,0.519750651,0.499871225
16230,0.520962951,0.501134938
16240,0.520840225,0.500732829
16250,0.517127047,0.497136158
16260,0.519726817,0.499751955
16270,0.521756326,0.501663362
16280,0.520817797,0.50087646
16290,0.518460168,0.498466861
16300,0.524331961,0.504329718
16310,0.518691222,0.498762315
16320,0.514972672,0.495186598
16330,0.520486754,0.500359526
16340,0.519268474,0.49944655
16350,0.520045726,0.500231466
16360,0.516427305,0.496393482
16370,0.517426397,0.497412835
16380,0.521007087,0.501002015
16390,0.518715816,0.499026353
16400,0.518786736,0.499027039
16410,0.51830265,0.498446697
16420,0.517146308,0.497160911
16430,0.516410513,0.496647648
16440,0.517280712,0.497579331
16450,0.513608352,0.493928145
16460,0.515758424,0.496169026
16470,0.520678931,0.500897455
16480,0.520007433,0.500469348
16490,0.519266745,0.499568624
16500,0.519147973,0.499565656
16510,0.515951114,0.496276002
16520,0.522074913,0.502337596
16530,0.519141937,0.499258097
16540,0.520024044,0.500318812
16550,0.52083022,0.501200051
16560,0.524956413,0.505184642
16570,0.521955785,0.502159343
16580,0.522697872,0.502915438
16590,0.521483392,0.501397124
16600,0.5240679,0.504197889
16610,0.523442538,0.503545564
16620,0.526169087,0.506120479
16630,0.52526283,0.505400519
16640,0.52612459,0.50628893
16650,0.526011536,0.506265262
16660,0.525749294,0.505904906
16670,0.52550722,0.505661411
16680,0.522083768,0.502292068
16690,0.524283736,0.504379531
16700,0.52327623,0.503450884
16710,0.522178491,0.502453218
16720,0.521211945,0.501417223
16730,0.521865558,0.502052186
16740,0.524303666,0.504428326
16750,0.523207952,0.503476988
16760,0.522167008,0.502478362
16770,0.521200864,0.501553505
16780,0.522844862,0.503051973
16790,0.525846724,0.505886193
16800,0.525472534,0.505740761
16810,0.527598758,0.507866795
16820,0.524893744,0.505112717
16830,0.527924339,0.508004741
16840,0.526677076,0.506762083
16850,0.525593511,0.505717376
16860,0.529624628,0.509693214
16870,0.530405081,0.510311174
16880,0.529495392,0.509478797
16890,0.533495469,0.513247636
16900,0.527454646,0.507509009
16910,0.530622569,0.510529177
16920,0.52526345,0.50551433
16930,0.530055019,0.509992155
16940,0.527328889,0.507462051
16950,0.5245912,0.504699959
16960,0.529645473,0.509710594
16970,0.525238719,0.505349138
16980,0.526330312,0.506380737
16990,0.526035369,0.506151461
